record_id,date,asset_id,equipment_type,location,reported_by,complaint,root_cause,fix_steps,parts_used,cost_inr,downtime_hours,urgency,safety_critical,prior_failures_on_asset,prior_same_cause_on_asset,technician_notes,status,source
MR-0001,2024-09-11,RO-005,Water purifier,"Cafeteria, Ground floor",security guard,"Complaint from faculty member: Water purifier giving low flow (Cafeteria, Ground floor).",Clogged sediment filter and fouled RO membrane,Replace the sediment and carbon filters | Flush or replace the RO membrane | Test TDS after service,RO membrane,3400,1.5,Low,False,0,0,Found clogged sediment filter and fouled RO membrane. Replace the sediment and carbon filters. Unit monitored for an hour after repair; no issues.,resolved,seed
MR-0002,2024-09-12,LIFT-001,Elevator,Block A lift 1,lab assistant,"Lift stops slightly above the floor level near Block A lift 1, started two days ago.",Leveling sensor drift and brake wear,Recalibrate the leveling sensor | Inspect brake pads and brake gap | Adjust or replace worn brake pads | Run test trips on all floors,"leveling sensor, brake pads",4700,3.0,High,True,0,0,Found leveling sensor drift and brake wear. Recalibrate the leveling sensor. Tested after repair; operating normally.,resolved,seed
MR-0003,2024-09-12,LIFT-001,Elevator,Block A lift 1,housekeeping supervisor,"Elevator door keeps opening and closing, started last week.",Dirty door track and misaligned door sensor,Clean the door sill and track | Realign the door sensor | Lubricate door rollers | Test door cycle 10 times,"door roller, door sensor",3350,1.0,Medium,False,1,0,Found dirty door track and misaligned door sensor. Clean the door sill and track. Tested after repair; operating normally.,resolved,seed
MR-0004,2024-09-18,UPS-001,UPS,"Lab Complex, Ground floor",lab assistant,Computers shut down as soon as power goes.,Degraded battery bank,Run a battery discharge test | Replace the battery bank | Recalibrate battery runtime | Test backup on full load,UPS battery set,8250,1.0,Medium,False,0,0,Found degraded battery bank. Run a battery discharge test. Closed after a successful test run.,resolved,seed
MR-0006,2024-09-22,UPS-001,UPS,"Lab Complex, Ground floor",hostel warden,"UPS beeping with battery fault light near Lab Complex, Ground floor, started yesterday.",Degraded battery bank,Run a battery discharge test | Replace the battery bank | Recalibrate battery runtime | Test backup on full load,UPS battery set,24300,2.0,Medium,False,1,1,Found degraded battery bank. Run a battery discharge test. Recurring issue - 1 similar failure(s) earlier on this asset. Verified operation with the user before closing the ticket.,resolved,seed
MR-0007,2024-09-26,CCTV-004,CCTV system,Hostel 1 corridor,housekeeping supervisor,Camera feed keeps disconnecting in Hostel 1 corridor.,Camera cable or PoE switch port failure,Check the camera power and cable | Test the PoE switch port | Replace the cable or move to a spare port,"network cable, PoE injector",1250,2.5,Medium,False,0,0,Found camera cable or PoE switch port failure. Check the camera power and cable. Closed after a successful test run.,resolved,seed
MR-0008,2024-10-01,CCTV-004,CCTV system,Hostel 1 corridor,lab assistant,"CCTV camera offline, also no video from the camera in the parking area in Hostel 1 corridor.",Camera cable or PoE switch port failure,Check the camera power and cable | Test the PoE switch port | Replace the cable or move to a spare port,network cable,1550,2.0,Medium,False,1,1,Found camera cable or PoE switch port failure. Check the camera power and cable. Recurring issue - 1 similar failure(s) earlier on this asset. Unit monitored for an hour after repair; no issues.,resolved,seed
MR-0009,2024-10-06,UPS-002,UPS,"Hostel 2, 1st floor",lab assistant,"UPS overload alarm in Hostel 2, 1st floor.",Inverter overload and faulty inverter board,Measure the connected load | Reduce load or shift equipment to another UPS | Inspect and replace the inverter board if faulty,inverter board,11800,1.0,Medium,False,0,0,Found inverter overload and faulty inverter board. Measure the connected load. Verified operation with the user before closing the ticket.,resolved,seed
MR-0010,2024-10-06,CCTV-001,CCTV system,Parking area,lab assistant,NVR beeping continuously. Happening since the past few hours. Location: Parking area.,Recorder hard disk failure,Check the disk status on the NVR | Replace the failed hard disk | Format and confirm recording,surveillance hard disk,5050,1.0,Medium,False,0,0,Found recorder hard disk failure. Check the disk status on the NVR. Tested after repair; operating normally.,resolved,seed
MR-0011,2024-10-09,PRJ-004,Projector,"Hostel 2, 2nd floor",student,Projector image is dim and turns off.,Projector lamp near end of life with dust in vents,Clean the air filter and vents | Replace the projector lamp | Reset the lamp timer,projector lamp,4450,1.0,Low,False,0,0,Found projector lamp near end of life with dust in vents. Clean the air filter and vents. Closed after a successful test run.,resolved,seed
